channelName,title,channelId,url,gender,rank,description,countryCode,viewCount,subscriberCount,videoCount,publishedAt,uploads,publishedDate,country,countryOther,continent,year,yearClass,subscriberCountClass
Programming with Mosh,Programming with Mosh,UCWv7vMbMWH4-V0ZXdmDpPBA,https://www.youtube.com/c/programmingwithmosh/videos,Male,1,"I train professional software engineers that companies love to hire. 

My courses: http://codewithmosh.com 

My blog: http://programmingwithmosh.com

Connect on social media: 

http://www.twitter.com/moshhamedani

https://www.facebook.com/programmingwithmosh

#python #javascript #chsarp",AU,82263182,1830000,161,2014-10-07T00:40:53Z,UUWv7vMbMWH4-V0ZXdmDpPBA,2014-10-07,Australia,Australia,Oceania,2014,"(2010.0, 2015.0]","(683500.0, 2460000.0]"
Traversy Media,Traversy Media,UC29ju8bIPH5as8OGnQzwJyA,https://www.youtube.com/user/TechGuyWeb,Male,2,"Traversy Media features the best online web development and programming tutorials for all of the latest web technologies from the building blocks of HTML, CSS & JavaScript to frontend frameworks like React and Vue to backend technologies like Node.js, Python and PHP",US,142390124,1560000,881,2009-10-30T21:33:14Z,UU29ju8bIPH5as8OGnQzwJyA,2009-10-30,United States,United States,North america,2009,"(2005.999, 2010.0]","(683500.0, 2460000.0]"
Corey Schafer,Corey Schafer,UCCezIgC97PvUuR4_gbFUs5g,https://www.youtube.com/user/schafer5,Male,3,"Welcome to my Channel. This channel is focused on creating tutorials and walkthroughs for software developers, programmers, and engineers. We cover topics for all different skill levels, so whether you are a beginner or have many years of experience, this channel will have something for you.

We've already released a wide variety of videos on topics that include: Python, Git, Development Environments, Terminal Commands, SQL, Programming Terms, JavaScript, Computer Science Fundamentals, and plenty of other tips and tricks which will help you in your career.


If you enjoy these videos and would like to support my channel, I would greatly appreciate any assistance through my Patreon account:
https://www.patreon.com/coreyms


You can find me on:
My website - http://coreyms.com/
Facebook - https://www.facebook.com/CoreyMSchafer
Twitter - https://twitter.com/CoreyMSchafer
Google Plus - https://plus.google.com/+CoreySchafer44/posts
Tumblr - https://www.tumblr.com/blog/mycms",US,58863870,792000,230,2006-05-31T22:49:22Z,UUCezIgC97PvUuR4_gbFUs5g,2006-05-31,United States,United States,North america,2006,"(2005.999, 2010.0]","(683500.0, 2460000.0]"
Tech With Tim,Tech With Tim,UC4JX40jDee_tINbkjycV4Sg,https://m.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Male,4,"Learn programming, software engineering, machine learning and everything tech from this channel. With a special emphasis on python and javascript my channel aims to give you free resources so that you can learn to code and dive into the software engineering and programming industry. My goal is to provide the highest quality programming and tech videos on the internet! ",CA,51968790,680000,602,2014-04-23T01:57:10Z,UU4JX40jDee_tINbkjycV4Sg,2014-04-23,Canada,Canada,North america,2014,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Krish Naik,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig,https://www.youtube.com/user/krishnaik06/playlists,Male,5,"I work as a Lead Data Scientist, pioneering in machine learning, deep learning, and computer vision,an educator, and a mentor, with over 8 years' experience in the industry. This is my YouTube channel where I explain various topics on machine learning, deep learning, and AI with many real-world problem scenarios. I have delivered over 30 tech talks on data science, machine learning, and AI at various meet-ups, technical institutions, and community-arranged forums. My main aim is to make everyone familiar of ML and AI.Please subscribe and support the channel. As i love new technology, all these videos are free and I promise to make more interesting content as we go ahead.

Please free to drop a mail for Product unboxing, GPU's unboxing and any other collaboration",IN,28303465,390000,1102,2012-02-11T04:05:06Z,UUNU_lfiiWBdtULKOw6X0Dig,2012-02-11,India,India,Asia,2012,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Hitesh Choudhary,Hitesh Choudhary,UCXgGY0wkgOzynnHvSEVmE3A,https://www.youtube.com/c/HiteshChoudharydotcom,Male,7,"Website: https://courses.LearnCodeOnline.in
Hey there everyone, Hitesh here back again with another video!
This means I create a lot of videos, every single week. I cover a wide range of subjects like programming, what's latest in tech, new frameworks, open-source products etc. I keep my interest in a wide area of tech like Javascript, Python, PHP, Machine Learning, etc.


For the Business purpose, Sponsorships and invitation, reach out at hitesh@lco.dev

NOTE: Personal questions and code-related questions are not answered at this email. Post them in the course discussion section or react me out at social platforms.

#iWriteCode

Instagram: https://instagram.com/hiteshchoudharyofficial
Facebook: www.fb.com/HiteshChoudharyPage",IN,38006103,641000,1023,2011-10-24T10:25:16Z,UUXgGY0wkgOzynnHvSEVmE3A,2011-10-24,India,India,Asia,2011,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Clever Programmer,Clever Programmer,UCqrILQNl5Ed9Dz6CGMyvMTQ,https://m.youtube.com/cleverprogrammer?uid=qrILQNl5Ed9Dz6CGMyvMTQ,Male,8,"You can find awesome programming lessons here! Also, expect programming tips and tricks that will take your coding skills to the next level.",US,41675095,978000,599,2016-03-12T08:59:15Z,UUqrILQNl5Ed9Dz6CGMyvMTQ,2016-03-12,United States,United States,North america,2016,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
Caleb Curry,Caleb Curry,UCZUyPT9DkJWmS_DzdOi7RIA,https://www.youtube.com/user/CalebTheVideoMaker2,Male,9,"Programming Made Fun and Simple  

High quality tutorials that are fun, educational, and easy to follow.  Teaching programming is my passion!  I find joy in making complex material easy to understand.

I've decided that it is only right to upload videos of great quality and value.  Here you will find videos on C++, JavaScript, C, database design, SQL, and more!  As a side note, many videos contain horribly cheesy jokes and random stories...you've been warned.

As an Amazon Associate I earn from qualifying purchases.

Business inquiries: hello@calebcurry.com 
",US,28464740,385000,1387,2009-08-18T18:32:42Z,UUZUyPT9DkJWmS_DzdOi7RIA,2009-08-18,United States,United States,North america,2009,"(2005.999, 2010.0]","(97250.0, 683500.0]"
programming Hero,Programming Hero,UCStj-ORBZ7TGK1FwtGAUgbQ,https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ,Male,10,"Learning is boring? Not any more. 
Programming is frustrating? No longer.

Go watch any of our videos and you'll start having a romantic perspective on programming. 

""Coding Just Got Fun With Programming Hero!"" — Every Aspiring Programmer 😎

Stay tuned every week for fun, cool, and exciting programming tutorials, tips & tricks, advice & suggestion videos right onto your lap with hot Grandma. ❤️

(Hidden Message: We get beaten if we don't get nice subscribers even after eye-shattering views) Save us from Grandma by subscribing to this channel if you enjoyed even one video. 😁

Hit us with any kind of query on our Discord server (link below) and if needed we'll cut the call with our significant other to reply to you. 

Regards,
Grandma's First GrandKids 😉

",US,5186511,212000,37,2019-04-13T16:32:45Z,UUStj-ORBZ7TGK1FwtGAUgbQ,2019-04-13,United States,United States,North america,2019,"(2015.0, 2020.0]","(97250.0, 683500.0]"
naveen Reddy,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/c/Telusko,Male,11,"Hey Aliens!!!
I make free programming tutorials from beginner to advanced level
That includes Java for beginner, Advanced Java, Python, Android, Blockchain, JavaScript, Kotlin, Scala, Spring Framework, Hibernate, C programming, Data Structures, Networking, REST API, and many more.
Sometimes I make videos on motivation and take sessions with Tech industry experts.
There is something for everyone here. 

If my videos have helped you in any way do support Telusko to make more content.
For Donation 
PayPal: https://goo.gl/ko8KrB
Patreon: https://goo.gl/rYLSCs
Instamojo: https://goo.gl/YSaZKT",IN,156108357,1400000,1469,2014-04-29T08:23:17Z,UU59K-uG2A5ogwIrHw4bmlEg,2014-04-29,India,India,Asia,2014,"(2010.0, 2015.0]","(683500.0, 2460000.0]"
Code Basics,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ,https://www.youtube.com/c/codebasics,Male,12,"I am Dhaval Patel, a software engineer by profession and a teacher by heart. I've worked with Nvidia and Bloomberg. I strongly believe ""Anyone Can Code"" ! No matter what your background and past skill set is, you can learn programming if it is taught in a simplistic and intuitive way. The goal of this channel is to fulfill this vision by teaching the programming in most simplest and intuitive manner.
I teach simple programming, data science, data analytics, artificial intelligence, machine learning, data structures, software architecture etc on my channel.

Disclaimer: All the content and opinion expressed on this channel are of my own and not of my employer's.",US,20562153,343000,406,2015-11-07T17:29:46Z,UUh9nVJoWXmFb7sLApWGcLPQ,2015-11-07,United States,United States,North america,2015,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Maximilian Schwarzmüller,Academind,UCSJbGtTlrDami-tDGPUV9-w,https://www.youtube.com/channel/UCSJbGtTlrDami-tDGPUV9-w,Male,13,"There's always something to learn!
We (Max & Manuel) create courses and tutorials that teach you everything related to web development. No matter if it's programming languages like JavaScript, runtimes like NodeJS or popular frameworks like ReactJS, Angular or VueJS (and much more!). We got you covered. :-)

• Explore our content on www.academind.com
• Follow @maxedapps and @academind_real on Twitter
• Follow @academind_real on Instagram: https://www.instagram.com/academind_real
• Join our Facebook community on https://www.facebook.com/academindchannel

See you in the videos!

Imprint: https://academind.com/impressum/en
Please only send business inquiries to the email address, support or video-related questions can not be answered.",DE,53714369,687000,618,2015-12-04T12:55:40Z,UUSJbGtTlrDami-tDGPUV9-w,2015-12-04,Germany,Other,Europe,2015,"(2010.0, 2015.0]","(683500.0, 2460000.0]"
